verb,noun,item,n_kwics,coll_freq,logDice,usage,noun_concreteness,noun_synset_len,verb_synset_len,snd3,snd10,snd25,snd50,queried_by_verb,queried_by_noun,n_nouns_for_verb,n_verbs_for_noun
accept,position,accept position,100,60020,7.95,accepted a position,2.62,16,11,229.38,325.34,362.4,380.34,0,1,37,96
accept,racism,accept racism,100,Not found,Not found,Not found,2.36,2,11,94.579,134.49,155.54,172.51,0,1,37,86
accept,responsibility,accept responsibility,100,73970,8.65,accept responsibility,1.4,3,11,139.46,206.54,231.4,249.11,0,1,37,94
accept,resume,accept resume,100,Not found,Not found,Not found,4.0,2,11,27.161,37.773,42.021,44.429,0,1,37,88
accept,risk,accept risk,100,14853,5.91,accept the risk,1.63,4,11,160.87,238.64,275.56,297.22,0,1,37,93
accept,rule,accept rule,100,10324,5.55,accepted rules,2.57,12,11,177.48,280.06,326.59,358.7,0,1,37,96
accept,sentence,accept sentence,100,Not found,Not found,Not found,3.57,3,11,120.5,167.75,185.71,195.53,0,1,37,99
accept,signature,accept signature,100,Not found,Not found,Not found,4.43,5,11,112.21,162.69,182.27,192.44,0,1,37,94
accept,silence,accept silence,100,Not found,Not found,Not found,3.33,4,11,107.25,151.56,168.73,179.07,0,1,37,76
accept,situation,accept situation,100,8013,5.34,accept the situation,2.03,5,11,186.49,274.89,314.53,332.46,0,1,37,98
accept,word,accept word,100,7681,4.74,accept the word,3.56,10,11,247.83,371.55,418.36,446.17,0,1,37,98
access,account,access account,100,29413,7.61,access your account,3.08,10,2,210.91,294.5,321.83,335.52,0,1,7,98
access,area,access area,100,17361,5.92,access the area,3.72,6,2,263.68,404.24,463.02,501.91,0,1,7,88
access,document,access document,100,11400,6.26,access documents,4.41,4,2,158.9,245.28,277.4,295.0,0,1,7,94
access,fund,access fund,100,10127,6.16,access funds,3.18,3,2,147.28,207.45,229.19,247.48,0,1,7,94
access,inbox,access inbox,100,Not found,Not found,Not found,4.1,0,2,33.769,47.055,52.52,55.362,0,1,7,25
access,log,access log,100,Not found,Not found,Not found,4.96,5,2,107.86,149.58,163.52,170.97,0,1,7,93
access,money,access money,100,4970,4.15,access the money,4.54,3,2,103.44,164.62,189.47,205.68,0,1,7,97
accommodate,change,accommodate change,100,11290,5.62,accommodate changes,2.89,10,7,169.83,260.43,300.98,324.77,0,1,2,97
accommodate,wedding,accommodate wedding,100,Not found,Not found,Not found,3.92,3,7,114.39,181.84,210.21,227.33,0,1,2,88
accompany,army,accompany army,100,1735,5.08,accompanied the army,4.7,3,4,127.38,213.56,259.99,294.17,0,1,2,96
accompany,resume,accompany resume,100,Not found,Not found,Not found,4.0,2,4,27.161,37.773,42.021,44.429,0,1,2,88
accomplish,agenda,accomplish agenda,100,927,4.5,accomplish their agenda,2.66,2,2,133.95,192.96,217.15,230.81,0,1,2,93
accomplish,dream,accomplish dream,100,4303,6.12,accomplish their dreams,2.6,6,2,147.1,213.55,239.31,254.22,0,1,2,93
accord,weight,accord weight,100,1848,5.0,accorded great weight,3.94,8,2,136.57,203.08,229.71,245.41,0,1,1,97
accrue,debt,accrue debt,100,3312,6.87,debt accrued,2.72,3,2,95.713,138.45,158.61,175.87,0,1,2,88
accrue,expense,accrue expense,100,3062,6.74,accrued expenses,2.57,3,2,166.21,247.22,277.52,295.84,0,1,2,87
accumulate,asset,accumulate asset,100,3763,6.25,accumulate assets,2.92,1,2,117.12,175.48,205.56,224.4,0,1,5,91
accumulate,debt,accumulate debt,100,9619,7.96,accumulated debt,2.72,3,2,95.713,138.45,158.61,175.87,0,1,5,88
accumulate,evidence,accumulate evidence,100,8545,6.06,accumulating evidence,3.65,3,2,161.8,250.91,291.33,310.6,0,1,5,95
accumulate,fluid,accumulate fluid,100,Not found,Not found,Not found,4.73,2,2,107.21,168.71,197.48,212.55,0,1,5,88
accumulate,profit,accumulate profit,100,2327,5.72,accumulated profits,3.07,2,2,59.81,135.58,177.33,201.82,0,1,5,95
accuse,army,accuse army,100,1362,4.75,accused the army,4.7,3,2,127.38,213.56,259.99,294.17,0,1,5,96
accuse,officer,accuse officer,100,7371,6.57,officers accused,4.8,4,2,200.25,288.09,326.95,352.01,0,1,5,91
accuse,party,accuse party,100,5464,5.66,accused party,3.89,5,2,161.4,244.31,287.75,312.33,0,1,5,92
accuse,soldier,accuse soldier,100,2553,5.56,soldiers accused,4.72,2,2,146.17,236.65,278.07,301.43,0,1,5,89
accuse,terrorist,accuse terrorist,100,Not found,Not found,Not found,3.64,1,2,85.007,132.96,160.49,178.63,0,1,5,90
ache,bone,ache bone,100,1029,5.94,aching bones,4.9,3,3,113.62,182.3,215.25,233.86,0,1,3,90
ache,leg,ache leg,100,1674,5.61,aching legs,4.83,9,3,134.48,212.33,256.38,294.07,0,1,3,97
ache,muscle,ache muscle,100,5512,8.14,aching muscles,4.5,5,3,91.117,146.9,175.42,195.22,0,1,3,94
achieve,agenda,achieve agenda,100,Not found,Not found,Not found,2.66,2,1,133.95,192.96,217.15,230.81,0,1,20,93
achieve,change,achieve change,100,21562,5.98,achieve change,2.89,10,1,169.83,260.43,300.98,324.77,0,1,20,97
achieve,confidence,achieve confidence,100,Not found,Not found,Not found,2.17,5,1,114.6,160.91,178.32,187.72,0,1,20,95
achieve,deal,achieve deal,100,Not found,Not found,Not found,3.1,9,1,162.55,254.97,291.8,311.14,0,1,20,98
achieve,dream,achieve dream,100,39272,7.81,achieve their dreams,2.6,6,1,147.1,213.55,239.31,254.22,0,1,20,93
achieve,harvest,achieve harvest,100,Not found,Not found,Not found,4.0,4,1,101.17,144.38,158.59,165.35,0,1,20,82
achieve,living,achieve living,100,Not found,Not found,Not found,3.04,4,1,118.05,167.4,183.13,190.2,0,1,20,68
achieve,momentum,achieve momentum,100,Not found,Not found,Not found,2.5,2,1,79.992,112.44,123.59,129.88,0,1,20,89
achieve,pose,achieve pose,100,Not found,Not found,Not found,3.33,3,1,12.162,16.888,18.741,19.754,0,1,20,54
achieve,position,achieve position,100,13169,5.69,achieve a position,2.62,16,1,229.38,325.34,362.4,380.34,0,1,20,96
achieve,potential,achieve potential,100,26441,7.11,achieve their full potential,1.91,2,1,154.16,221.87,249.35,265.29,0,1,20,97
achieve,privacy,achieve privacy,100,Not found,Not found,Not found,1.5,2,1,60.69,97.554,110.21,116.38,0,1,20,93
achieve,profit,achieve profit,100,Not found,Not found,Not found,3.07,2,1,59.81,135.58,177.33,201.82,0,1,20,95
achieve,reputation,achieve reputation,100,Not found,Not found,Not found,1.64,3,1,181.29,254.1,285.24,303.63,0,1,20,96
achieve,skin,achieve skin,100,Not found,Not found,Not found,4.79,6,1,169.4,240.84,276.4,299.07,0,1,20,97
achieve,smile,achieve smile,100,Not found,Not found,Not found,4.5,1,1,103.53,159.95,184.24,198.92,0,1,20,85
achieve,success,achieve success,100,150235,9.54,achieve success,2.21,4,1,194.18,295.66,331.23,349.41,0,1,20,97
achieve,target,achieve target,100,53049,8.18,achieve the target,4.11,5,1,165.15,233.33,258.47,270.78,0,1,20,95
achieve,tone,achieve tone,100,Not found,Not found,Not found,3.07,10,1,168.02,248.56,285.18,303.36,0,1,20,94
achieve,weight,achieve weight,100,Not found,Not found,Not found,3.94,8,1,136.57,203.08,229.71,245.41,0,1,20,97
acknowledge,challenge,acknowledge challenge,100,4835,5.25,acknowledged the challenges,2.11,5,6,158.7,224.89,250.88,263.63,0,1,7,93
acknowledge,controversy,acknowledge controversy,100,Not found,Not found,Not found,2.29,1,6,146.19,222.23,259.61,281.54,0,1,7,84
acknowledge,debt,acknowledge debt,100,5004,6.62,acknowledged his debt,2.72,3,6,95.713,138.45,158.61,175.87,0,1,7,88
acknowledge,fact,acknowledge fact,100,18142,7.15,acknowledge the fact that,2.72,4,6,254.34,365.67,419.85,450.64,0,1,7,98
acknowledge,gravity,acknowledge gravity,100,Not found,Not found,Not found,2.86,3,6,73.094,104.58,115.01,120.81,0,1,7,78
acknowledge,racism,acknowledge racism,100,Not found,Not found,Not found,2.36,2,6,94.579,134.49,155.54,172.51,0,1,7,86
acknowledge,responsibility,acknowledge responsibility,100,4996,5.85,acknowledge responsibility,1.4,3,6,139.46,206.54,231.4,249.11,0,1,7,94
acquire,asset,acquire asset,100,28005,8.13,assets acquired,2.92,1,7,117.12,175.48,205.56,224.4,0,1,17,91
acquire,bomb,acquire bomb,100,Not found,Not found,Not found,4.84,3,7,82.168,128.66,156.09,175.26,0,1,17,87
acquire,building,acquire building,100,6867,5.57,acquired the building,4.64,4,7,193.2,298.76,338.74,361.38,0,1,17,95
acquire,confidence,acquire confidence,100,Not found,Not found,Not found,2.17,5,7,114.6,160.91,178.32,187.72,0,1,17,95
acquire,debt,acquire debt,100,Not found,Not found,Not found,2.72,3,7,95.713,138.45,158.61,175.87,0,1,17,88
acquire,disease,acquire disease,100,4309,5.29,acquired diseases,3.45,1,7,102.9,195.33,244.79,273.82,0,1,17,93
acquire,habit,acquire habit,100,5515,6.0,acquired the habit,2.76,6,7,124.43,184.5,207.67,221.79,0,1,17,85
acquire,image,acquire image,100,19392,6.61,images acquired,3.85,9,7,179.93,316.21,370.25,403.89,0,1,17,95
acquire,momentum,acquire momentum,100,Not found,Not found,Not found,2.5,2,7,79.992,112.44,123.59,129.88,0,1,17,89
acquire,player,acquire player,100,7220,5.28,acquire players,4.15,5,7,226.69,338.56,382.77,407.1,0,1,17,94
acquire,reputation,acquire reputation,100,9769,6.77,acquired a reputation,1.64,3,7,181.29,254.1,285.24,303.63,0,1,17,96
acquire,satellite,acquire satellite,100,Not found,Not found,Not found,4.73,3,7,85.82,137.67,159.56,170.31,0,1,17,67
acquire,signature,acquire signature,100,Not found,Not found,Not found,4.43,5,7,112.21,162.69,182.27,192.44,0,1,17,94
acquire,skill,acquire skill,100,63478,8.46,skills acquired,2.17,2,7,158.2,237.46,270.14,289.39,0,1,17,86
acquire,talent,acquire talent,100,4252,5.48,acquire talent,2.19,2,7,149.46,215.84,243.88,261.1,0,1,17,94
acquire,target,acquire target,100,Not found,Not found,Not found,4.11,5,7,165.15,233.33,258.47,270.78,0,1,17,95
acquire,territory,acquire territory,100,4680,5.86,acquired territory,3.41,3,7,170.99,267.54,308.58,331.65,0,1,17,91
activate,account,activate account,100,10433,6.67,activate your account,3.08,10,5,210.91,294.5,321.83,335.52,0,1,7,98
activate,bomb,activate bomb,100,Not found,Not found,Not found,4.84,3,5,82.168,128.66,156.09,175.26,0,1,7,87
activate,brain,activate brain,100,2109,5.51,brain are activated,4.69,5,5,120.31,177.7,212.37,233.34,0,1,7,91
activate,gate,activate gate,100,Not found,Not found,Not found,4.96,4,5,143.81,229.28,265.02,282.2,0,1,7,91
activate,muscle,activate muscle,100,3001,6.12,activate the muscles,4.5,5,5,91.117,146.9,175.42,195.22,0,1,7,94
activate,phone,activate phone,100,2126,4.98,activate the phone,4.86,3,5,132.03,200.44,232.92,254.36,0,1,7,97
activate,window,activate window,100,3717,5.48,activate Windows,4.86,8,5,140.8,244.66,291.16,317.16,0,1,7,95
adapt,story,adapt story,100,8843,5.21,story was adapted,3.3,6,2,197.18,328.22,376.06,402.62,0,1,2,98
adapt,tale,adapt tale,100,Not found,Not found,Not found,3.23,2,2,178.08,277.38,316.31,343.61,0,1,2,91
add,account,add account,100,Not found,Not found,Not found,3.08,10,6,210.91,294.5,321.83,335.52,0,1,100,98
add,anchor,add anchor,100,Not found,Not found,Not found,4.77,3,6,96.973,139.06,152.3,158.34,0,1,100,65
add,area,add area,100,Not found,Not found,Not found,3.72,6,6,263.68,404.24,463.02,501.91,0,1,100,88
add,asset,add asset,100,Not found,Not found,Not found,2.92,1,6,117.12,175.48,205.56,224.4,0,1,100,91
add,balloon,add balloon,100,Not found,Not found,Not found,4.92,2,6,82.715,117.6,132.65,140.92,0,1,100,83
add,basket,add basket,100,Not found,Not found,Not found,5.0,4,6,92.968,137.82,159.48,172.87,0,1,100,88
add,bead,add bead,100,Not found,Not found,Not found,4.9,3,6,78.865,116.76,135.58,146.95,0,1,100,74
add,beer,add beer,100,Not found,Not found,Not found,4.88,1,6,74.267,130.5,169.11,196.91,0,1,100,93
add,blood,add blood,100,Not found,Not found,Not found,4.86,5,6,132.86,194.1,218.83,232.67,0,1,100,97
add,board,add board,100,Not found,Not found,Not found,4.57,9,6,187.08,278.44,317.8,338.2,0,1,100,93
add,bone,add bone,100,Not found,Not found,Not found,4.9,3,6,113.62,182.3,215.25,233.86,0,1,100,90
add,breath,add breath,100,Not found,Not found,Not found,4.36,5,6,72.307,105.92,123.28,131.92,0,1,100,85
add,building,add building,100,Not found,Not found,Not found,4.64,4,6,193.2,298.76,338.74,361.38,0,1,100,95
add,butter,add butter,100,Not found,Not found,Not found,4.9,2,6,82.231,121.23,150.89,172.76,0,1,100,81
add,can,add can,100,Not found,Not found,Not found,4.55,6,6,58.316,89.046,104.16,112.97,0,1,100,83
add,challenge,add challenge,100,Not found,Not found,Not found,2.11,5,6,158.7,224.89,250.88,263.63,0,1,100,93
add,charge,add charge,100,Not found,Not found,Not found,2.96,15,6,190.91,262.88,290.47,306.26,0,1,100,93
add,competition,add competition,100,Not found,Not found,Not found,3.86,4,6,146.29,235.72,281.35,307.68,0,1,100,90
add,confidence,add confidence,100,Not found,Not found,Not found,2.17,5,6,114.6,160.91,178.32,187.72,0,1,100,95
add,confusion,add confusion,100,Not found,Not found,Not found,2.24,5,6,118.8,177.89,200.35,212.85,0,1,100,87
add,controversy,add controversy,100,Not found,Not found,Not found,2.29,1,6,146.19,222.23,259.61,281.54,0,1,100,84
add,crop,add crop,100,Not found,Not found,Not found,4.24,6,6,130.57,186.59,211.43,228.77,0,1,100,94
add,cushion,add cushion,100,Not found,Not found,Not found,4.68,3,6,51.694,87.616,103.61,112.46,0,1,100,49
add,deal,add deal,100,Not found,Not found,Not found,3.1,9,6,162.55,254.97,291.8,311.14,0,1,100,98
add,debt,add debt,100,Not found,Not found,Not found,2.72,3,6,95.713,138.45,158.61,175.87,0,1,100,88
add,discussion,add discussion,100,Not found,Not found,Not found,3.07,2,6,180.21,295.44,351.36,377.72,0,1,100,98
add,document,add document,100,Not found,Not found,Not found,4.41,4,6,158.9,245.28,277.4,295.0,0,1,100,94
add,door,add door,100,Not found,Not found,Not found,4.81,5,6,145.33,240.25,284.65,309.98,0,1,100,99
add,doubt,add doubt,100,Not found,Not found,Not found,1.79,2,6,158.05,239.27,270.23,288.3,0,1,100,88
add,egg,add egg,100,20263,5.56,Add eggs,4.97,3,6,124.85,178.59,202.35,217.95,0,1,100,97
add,evidence,add evidence,100,Not found,Not found,Not found,3.65,3,6,161.8,250.91,291.33,310.6,0,1,100,95
add,expense,add expense,100,Not found,Not found,Not found,2.57,3,6,166.21,247.22,277.52,295.84,0,1,100,87
add,face,add face,100,Not found,Not found,Not found,4.87,13,6,234.58,343.73,395.03,428.46,0,1,100,97
add,fact,add fact,100,Not found,Not found,Not found,2.72,4,6,254.34,365.67,419.85,450.64,0,1,100,98
add,fish,add fish,100,Not found,Not found,Not found,5.0,4,6,164.99,237.0,271.35,292.14,0,1,100,98
add,flame,add flame,100,Not found,Not found,Not found,4.67,1,6,93.561,139.75,160.47,173.35,0,1,100,81
add,flesh,add flesh,100,Not found,Not found,Not found,4.59,3,6,117.07,169.48,189.27,199.45,0,1,100,80
add,fluid,add fluid,100,Not found,Not found,Not found,4.73,2,6,107.21,168.71,197.48,212.55,0,1,100,88
add,food,add food,100,Not found,Not found,Not found,4.8,3,6,169.07,241.2,280.07,303.04,0,1,100,97
add,fund,add fund,100,Not found,Not found,Not found,3.18,3,6,147.28,207.45,229.19,247.48,0,1,100,94
add,gate,add gate,100,Not found,Not found,Not found,4.96,4,6,143.81,229.28,265.02,282.2,0,1,100,91
add,glass,add glass,100,Not found,Not found,Not found,4.82,7,6,149.6,219.89,246.25,262.92,0,1,100,92
add,gravity,add gravity,100,Not found,Not found,Not found,2.86,3,6,73.094,104.58,115.01,120.81,0,1,100,78
add,ground,add ground,100,Not found,Not found,Not found,4.77,11,6,207.06,291.84,324.49,350.64,0,1,100,89
add,hint,add hint,100,Not found,Not found,Not found,2.33,5,6,145.16,208.15,236.51,250.97,0,1,100,89
add,idea,add idea,100,Not found,Not found,Not found,1.61,5,6,186.11,292.47,339.77,365.76,0,1,100,99
add,image,add image,100,44530,6.37,add images,3.85,9,6,179.93,316.21,370.25,403.89,0,1,100,95
add,joy,add joy,100,Not found,Not found,Not found,2.37,2,6,107.12,161.36,189.58,205.58,0,1,100,88
add,leg,add leg,100,Not found,Not found,Not found,4.83,9,6,134.48,212.33,256.38,294.07,0,1,100,97
add,line,add line,100,66014,6.88,add a line,4.5,30,6,253.42,357.41,397.32,421.22,0,1,100,98
add,load,add load,100,Not found,Not found,Not found,3.63,9,6,139.13,209.14,235.35,251.18,0,1,100,98
add,log,add log,100,Not found,Not found,Not found,4.96,5,6,107.86,149.58,163.52,170.97,0,1,100,93
add,milk,add milk,100,22070,5.72,add milk,4.92,4,6,85.509,138.38,171.6,192.28,0,1,100,95
add,mixture,add mixture,100,Not found,Not found,Not found,3.79,5,6,173.87,303.73,353.4,380.67,0,1,100,93
add,momentum,add momentum,100,Not found,Not found,Not found,2.5,2,6,79.992,112.44,123.59,129.88,0,1,100,89
add,money,add money,100,Not found,Not found,Not found,4.54,3,6,103.44,164.62,189.47,205.68,0,1,100,97
add,muscle,add muscle,100,Not found,Not found,Not found,4.5,5,6,91.117,146.9,175.42,195.22,0,1,100,94
add,nonsense,add nonsense,100,Not found,Not found,Not found,2.38,2,6,61.401,95.296,109.2,118.44,0,1,100,73
add,officer,add officer,100,Not found,Not found,Not found,4.8,4,6,200.25,288.09,326.95,352.01,0,1,100,91
add,oil,add oil,100,39040,6.45,add oil,4.93,4,6,116.09,174.9,208.49,229.11,0,1,100,97
add,perfume,add perfume,100,Not found,Not found,Not found,4.66,2,6,55.569,89.838,104.75,115.12,0,1,100,34
add,phone,add phone,100,Not found,Not found,Not found,4.86,3,6,132.03,200.44,232.92,254.36,0,1,100,97
add,picture,add picture,100,27841,5.76,add pictures,4.52,10,6,124.67,237.09,298.33,333.94,0,1,100,97
add,pill,add pill,100,Not found,Not found,Not found,4.72,5,6,68.926,102.91,117.35,126.85,0,1,100,86
add,plane,add plane,100,Not found,Not found,Not found,4.92,5,6,122.19,203.02,246.61,272.63,0,1,100,93
add,player,add player,100,19658,5.22,add players,4.15,5,6,226.69,338.56,382.77,407.1,0,1,100,94
add,position,add position,100,Not found,Not found,Not found,2.62,16,6,229.38,325.34,362.4,380.34,0,1,100,96
add,privacy,add privacy,100,Not found,Not found,Not found,1.5,2,6,60.69,97.554,110.21,116.38,0,1,100,93
add,profit,add profit,100,Not found,Not found,Not found,3.07,2,6,59.81,135.58,177.33,201.82,0,1,100,95
add,question,add question,100,Not found,Not found,Not found,3.36,6,6,211.73,299.72,335.13,354.36,0,1,100,94
add,responsibility,add responsibility,100,Not found,Not found,Not found,1.4,3,6,139.46,206.54,231.4,249.11,0,1,100,94
add,risk,add risk,100,Not found,Not found,Not found,1.63,4,6,160.87,238.64,275.56,297.22,0,1,100,93
add,rock,add rock,100,Not found,Not found,Not found,4.91,7,6,225.91,320.78,360.6,382.06,0,1,100,90
add,rule,add rule,100,Not found,Not found,Not found,2.57,12,6,177.48,280.06,326.59,358.7,0,1,100,96
add,satellite,add satellite,100,Not found,Not found,Not found,4.73,3,6,85.82,137.67,159.56,170.31,0,1,100,67
add,scene,add scene,100,Not found,Not found,Not found,3.93,10,6,236.31,326.09,358.85,376.01,0,1,100,95
add,sentence,add sentence,100,Not found,Not found,Not found,3.57,3,6,120.5,167.75,185.71,195.53,0,1,100,99
add,signature,add signature,100,Not found,Not found,Not found,4.43,5,6,112.21,162.69,182.27,192.44,0,1,100,94
add,skill,add skill,100,Not found,Not found,Not found,2.17,2,6,158.2,237.46,270.14,289.39,0,1,100,86
add,skin,add skin,100,Not found,Not found,Not found,4.79,6,6,169.4,240.84,276.4,299.07,0,1,100,97
add,smile,add smile,100,Not found,Not found,Not found,4.5,1,6,103.53,159.95,184.24,198.92,0,1,100,85
add,steel,add steel,100,Not found,Not found,Not found,4.87,3,6,98.555,155.27,193.79,217.4,0,1,100,76
add,stone,add stone,100,Not found,Not found,Not found,4.72,13,6,159.19,242.89,279.87,302.48,0,1,100,91
add,story,add story,100,Not found,Not found,Not found,3.3,6,6,197.18,328.22,376.06,402.62,0,1,100,98
add,structure,add structure,100,Not found,Not found,Not found,4.03,5,6,243.93,343.97,379.8,400.18,0,1,100,96
add,sugar,add sugar,100,43272,6.7,add sugar,4.87,3,6,84.472,131.97,165.27,185.99,0,1,100,94
add,talent,add talent,100,Not found,Not found,Not found,2.19,2,6,149.46,215.84,243.88,261.1,0,1,100,94
