item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,verb_apd,verb_n_clusters,verb_samd,noun_delta_cos,noun_pool_size,noun_x_source,noun_apd,noun_n_clusters
float boat,float,boat,Idiom,1002.7096774193548,0.9168357849121094,52,0.36346057057380676,2,,0.9524730443954468,97,nouns_pt,0.4015582203865051,2
push button,push,button,Idiom,764.9516129032259,0.8639593124389648,96,0.33408287167549133,2,,0.9851299524307251,-1,verbs_pt_fallback,0.2341877967119217,2
fuel fire,fuel,fire,Idiom,902.1935483870968,0.9433343410491943,99,0.3777521848678589,2,,0.9849022030830383,-1,verbs_pt_fallback,0.21160449087619781,2
beat drum,beat,drum,Idiom,1104.8524590163934,0.9434154629707336,78,0.30836954712867737,2,,0.9817849397659302,-1,verbs_pt_fallback,0.21130529046058655,2
soften blow,soften,blow,Idiom,930.3333333333334,0.9493304491043091,95,0.3399065136909485,2,,0.9807221293449402,-1,verbs_pt_fallback,0.25208449363708496,2
weave web,weave,web,Idiom,1037.4193548387098,0.9572314620018005,83,0.41892167925834656,3,,0.9733180999755859,-1,verbs_pt_fallback,0.23955723643302917,2
stifle voice,stifle,voice,Idiom,1261.65,0.9359674453735352,97,0.505779504776001,2,,0.9424630403518677,-1,verbs_pt_fallback,0.24595266580581665,3
crack case,crack,case,Idiom,1023.483870967742,0.9603884220123291,89,0.2830183207988739,2,,0.9838457703590393,-1,verbs_pt_fallback,0.25004836916923523,2
sweeten pot,sweeten,pot,Idiom,1134.949152542373,0.9450361132621765,27,0.3279150426387787,2,,0.9716017246246338,-1,verbs_pt_fallback,0.17337140440940857,2
erase trace,erase,trace,Idiom,1442.9827586206898,0.9804694652557373,83,0.21235434710979462,2,,1.0,-1,verbs_pt_fallback,0.25503310561180115,2
inflate bubble,inflate,bubble,Idiom,1223.8196721311476,0.9274252653121948,78,0.39835697412490845,2,,0.995495080947876,-1,verbs_pt_fallback,0.18694975972175598,2
cast net,cast,net,Idiom,942.8064516129032,0.9438913464546204,94,0.34283360838890076,2,,0.9755338430404663,-1,verbs_pt_fallback,0.295925110578537,3
navigate world,navigate,world,Idiom,946.344262295082,0.9615375995635986,98,0.3246420621871948,2,,0.9751401543617249,-1,verbs_pt_fallback,0.2677137553691864,2
forge link,forge,link,Idiom,1035.9180327868853,0.9168167114257812,89,0.548899233341217,2,,0.9646567702293396,-1,verbs_pt_fallback,0.23479649424552917,2
unlock door,unlock,door,Idiom,819.2950819672132,0.922350287437439,90,0.3014334440231323,2,,0.9884958267211914,99,nouns_pt,0.20631977915763855,3
dent reputation,dent,reputation,Idiom,1250.9032258064517,0.9127120971679688,23,0.44060635566711426,2,,0.9889440536499023,96,nouns_pt,0.2203940749168396,2
carry weight,carry,weight,Idiom,964.9833333333332,0.8949181437492371,94,0.469578355550766,2,,0.9421529769897461,97,nouns_pt,0.2700977623462677,2
taste blood,taste,blood,Idiom,829.6935483870968,0.9503970146179199,84,0.231414332985878,2,,0.9802073240280151,97,nouns_pt,0.16263288259506226,2
face obstacle,face,obstacle,Idiom,1076.0967741935483,0.9180490374565125,99,0.40167373418807983,2,,0.989814281463623,-1,verbs_pt_fallback,0.22380805015563965,2
spread seed,spread,seed,Idiom,1205.1935483870968,0.960760235786438,92,0.29191824793815613,2,,0.9908148050308228,-1,verbs_pt_fallback,0.24226951599121094,2
sow seed,sow,seed,Idiom,870.4354838709677,0.9586052894592285,66,0.45377248525619507,2,,0.9548401832580566,-1,verbs_pt_fallback,0.24196334183216095,2
kick bucket,kick,bucket,Idiom,836.4677419354839,0.9643132090568542,88,0.3130759596824646,2,,0.9953147768974304,-1,verbs_pt_fallback,0.1394573152065277,2
bend knee,bend,knee,Idiom,855.1147540983607,0.9651449918746948,94,0.24485591053962708,2,,0.9933425188064575,-1,verbs_pt_fallback,0.214686319231987,2
crash computer,crash,computer,Idiom,1024.8870967741937,0.9663591384887695,77,0.2508833110332489,2,,0.9791591763496399,-1,verbs_pt_fallback,0.3157253563404083,2
spark fire,spark,fire,Idiom,1042.483870967742,0.8880556225776672,96,0.3367706537246704,2,,0.9904019832611084,-1,verbs_pt_fallback,0.17984308302402496,2
pick brain,pick,brain,Idiom,930.2786885245902,0.937359631061554,94,0.3322814404964447,2,,0.9448024034500122,91,nouns_pt,0.2200278639793396,2
slash bill,slash,bill,Idiom,1242.327868852459,0.9664895534515381,91,0.28710320591926575,2,,0.9728459715843201,-1,verbs_pt_fallback,0.27912208437919617,3
scrape bottom,scrape,bottom,Idiom,1110.6440677966102,0.9607276320457458,50,0.2947372794151306,2,,0.9917187094688416,-1,verbs_pt_fallback,0.23737198114395142,2
level field,level,field,Idiom,1072.516129032258,0.9314112663269043,78,0.29022252559661865,2,,0.9228787422180176,-1,verbs_pt_fallback,0.291824072599411,2
hold key,hold,key,Idiom,997.6935483870968,0.8790857195854187,94,0.47703805565834045,2,,0.8474929332733154,-1,verbs_pt_fallback,0.39653337001800537,2
stir pot,stir,pot,Idiom,929.548387096774,0.9565529227256775,90,0.32154086232185364,4,,0.9711562991142273,-1,verbs_pt_fallback,0.25317370891571045,2
throw money,throw,money,Idiom,1068.0967741935483,0.9036454558372498,95,0.29744455218315125,2,,0.9867433905601501,97,nouns_pt,0.20360204577445984,2
chase tail,chase,tail,Idiom,1100.3225806451612,0.968288004398346,94,0.2984357476234436,2,,0.9792743921279907,-1,verbs_pt_fallback,0.24071475863456726,2
spew venom,spew,venom,Idiom,1068.274193548387,0.9505838751792908,80,0.41557514667510986,2,,1.0,-1,verbs_pt_fallback,0.18777087330818176,2
pay price,pay,price,Idiom,777.7741935483871,0.9539334177970886,95,0.27008187770843506,2,,0.9280415773391724,-1,verbs_pt_fallback,0.16767007112503052,2
lift finger,lift,finger,Idiom,823.4516129032259,0.8779522776603699,96,0.2391604334115982,2,,0.9440866708755493,-1,verbs_pt_fallback,0.1602567881345749,2
fight man,fight,man,Idiom,962.688524590164,0.9595036506652832,88,0.2261897325515747,2,,0.9686899185180664,-1,verbs_pt_fallback,0.2619408369064331,2
catch eye,catch,eye,Idiom,858.688524590164,0.7235941290855408,89,0.3992869257926941,2,,0.7880005240440369,96,nouns_pt,0.3252193331718445,2
share bed,share,bed,Idiom,873.3225806451613,0.8784425854682922,98,0.26174718141555786,2,,0.9728391766548157,-1,verbs_pt_fallback,0.17371903359889984,3
stimulate brain,stimulate,brain,Idiom,959.3709677419356,0.9446322321891785,99,0.3318272531032562,3,,0.9822703003883362,91,nouns_pt,0.22059868276119232,2
twist arm,twist,arm,Idiom,917.1451612903226,0.9690510630607605,87,0.2536873519420624,2,,0.9840512871742249,-1,verbs_pt_fallback,0.24156849086284637,3
